epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,126737,1.07463,0.67031,1.09766,1,1,0.995,0.995,1.11215,0.63142,1.15554,0.003862,0.003862,0.003862
126,127698,1.06782,0.66694,1.09477,1,1,0.995,0.995,1.11037,0.63054,1.15456,0.0038125,0.0038125,0.0038125
127,128658,1.06652,0.66784,1.09493,1,1,0.995,0.995,1.10842,0.62958,1.1534,0.003763,0.003763,0.003763
128,129623,1.06274,0.66286,1.09249,1,1,0.995,0.995,1.10664,0.62871,1.15244,0.0037135,0.0037135,0.0037135
129,130639,1.06213,0.66179,1.08768,1,1,0.995,0.995,1.10486,0.6278,1.15119,0.003664,0.003664,0.003664
130,131609,1.06037,0.65969,1.09421,1,1,0.995,0.995,1.10344,0.62703,1.15062,0.0036145,0.0036145,0.0036145
131,132575,1.05265,0.65552,1.086,1,1,0.995,0.995,1.10175,0.62665,1.14985,0.003565,0.003565,0.003565
132,133540,1.0545,0.6562,1.08762,1,1,0.995,0.995,1.09977,0.62556,1.14874,0.0035155,0.0035155,0.0035155
133,134505,1.0454,0.65064,1.0826,1,1,0.995,0.995,1.09805,0.62484,1.14759,0.003466,0.003466,0.003466
134,135464,1.04425,0.64785,1.08452,1,1,0.995,0.995,1.09624,0.62416,1.14691,0.0034165,0.0034165,0.0034165
135,136440,1.04686,0.65362,1.08538,1,1,0.995,0.995,1.09431,0.62348,1.14601,0.003367,0.003367,0.003367
136,137417,1.04322,0.65115,1.08058,1,1,0.995,0.995,1.09272,0.62263,1.14519,0.0033175,0.0033175,0.0033175
137,138380,1.03866,0.64434,1.08193,1,1,0.995,0.995,1.09098,0.6219,1.14443,0.003268,0.003268,0.003268
138,139341,1.03406,0.63875,1.0781,1,1,0.995,0.995,1.08924,0.6214,1.14365,0.0032185,0.0032185,0.0032185
139,140308,1.03169,0.63829,1.07697,1,1,0.995,0.995,1.08743,0.62078,1.14282,0.003169,0.003169,0.003169
140,141276,1.02606,0.63759,1.07691,1,1,0.995,0.995,1.08593,0.62069,1.14229,0.0031195,0.0031195,0.0031195
141,142256,1.02113,0.63598,1.07603,1,1,0.995,0.995,1.08427,0.62015,1.14164,0.00307,0.00307,0.00307
142,143241,1.02021,0.63256,1.07299,1,1,0.995,0.995,1.08311,0.61959,1.14102,0.0030205,0.0030205,0.0030205
143,144207,1.01468,0.62723,1.06729,1,1,0.995,0.995,1.08123,0.61906,1.13988,0.002971,0.002971,0.002971
144,145174,1.01273,0.62903,1.06864,1,1,0.995,0.995,1.07951,0.61856,1.13904,0.0029215,0.0029215,0.0029215
145,146138,1.01103,0.62608,1.06662,1,1,0.995,0.995,1.07766,0.61771,1.13818,0.002872,0.002872,0.002872
146,147109,1.00712,0.62675,1.06476,1,1,0.995,0.995,1.0762,0.61676,1.13746,0.0028225,0.0028225,0.0028225
147,148089,1.00139,0.61999,1.06273,1,1,0.995,0.995,1.07436,0.61569,1.13661,0.002773,0.002773,0.002773
148,149104,0.99869,0.61669,1.06177,1,1,0.995,0.995,1.0726,0.61473,1.13591,0.0027235,0.0027235,0.0027235
149,150078,0.9986,0.61598,1.06103,1,1,0.995,0.995,1.07087,0.6142,1.13517,0.002674,0.002674,0.002674
150,151046,0.99483,0.61627,1.05883,1,1,0.995,0.995,1.06919,0.61349,1.13435,0.0026245,0.0026245,0.0026245
151,152022,0.98807,0.61025,1.05556,1,1,0.995,0.995,1.06747,0.61277,1.13339,0.002575,0.002575,0.002575
152,152987,0.98812,0.61282,1.05424,1,1,0.995,0.995,1.06609,0.61225,1.13275,0.0025255,0.0025255,0.0025255
153,153965,0.98152,0.6074,1.05454,1,1,0.995,0.995,1.06433,0.6118,1.13212,0.002476,0.002476,0.002476
154,154959,0.97904,0.60231,1.05101,1,1,0.995,0.995,1.06278,0.61105,1.13125,0.0024265,0.0024265,0.0024265
155,155929,0.97475,0.60121,1.05141,1,1,0.995,0.995,1.06111,0.61064,1.13063,0.002377,0.002377,0.002377
